DOLNOŚLĄSKIE,Jelenia Góra,D,J
DOLNOŚLĄSKIE,Legnica,D,L
DOLNOŚLĄSKIE,Wałbrzych,D,B
DOLNOŚLĄSKIE,Wrocław,D,W
DOLNOŚLĄSKIE,Bolesławiecki,D,BL
DOLNOŚLĄSKIE,Dzierżoniowski,D,DZ
DOLNOŚLĄSKIE,Głogowski,D,GL
DOLNOŚLĄSKIE,Górowski,D,GR
DOLNOŚLĄSKIE,Jaworski,D,JA
DOLNOŚLĄSKIE,Jeleniogórski,D,JE
DOLNOŚLĄSKIE,Kamiennogórski,D,KA
DOLNOŚLĄSKIE,Kłodzki,D,KL
DOLNOŚLĄSKIE,Legnicki,D,LE
DOLNOŚLĄSKIE,Lubański,D,LB
DOLNOŚLĄSKIE,Lubiński,D,LU
DOLNOŚLĄSKIE,Lwówecki,D,LW
DOLNOŚLĄSKIE,Milicki,D,MI
DOLNOŚLĄSKIE,Oleśnicki,D,OL
DOLNOŚLĄSKIE,Oławski,D,OA
DOLNOŚLĄSKIE,Polkowicki,D,PL
DOLNOŚLĄSKIE,Strzeliński,D,ST
DOLNOŚLĄSKIE,Średzki,D,SR
DOLNOŚLĄSKIE,Świdnicki,D,SW
DOLNOŚLĄSKIE,Trzebnicki,D,TR
DOLNOŚLĄSKIE,Wałbrzyski,D,BA
DOLNOŚLĄSKIE,Wołowski,D,WL
DOLNOŚLĄSKIE,Wrocławski,D,WR
DOLNOŚLĄSKIE,Ząbkowicki,D,ZA
DOLNOŚLĄSKIE,Zgorzelecki,D,ZG
DOLNOŚLĄSKIE,Złotoryjski,D,ZL
KUJAWSKO-POMORSKIE,Bydgoszcz,C,B
KUJAWSKO-POMORSKIE,Grudziądz,C,G
KUJAWSKO-POMORSKIE,Toruń,C,T
KUJAWSKO-POMORSKIE,Włocławek,C,W
KUJAWSKO-POMORSKIE,Aleksandrowski,C,AL
KUJAWSKO-POMORSKIE,Brodnicki,C,BR
KUJAWSKO-POMORSKIE,Bydgoski,C,BY
KUJAWSKO-POMORSKIE,Chełmiński,C,CH
KUJAWSKO-POMORSKIE,Golubsko-dobrzyński,C,GD
KUJAWSKO-POMORSKIE,Grudziądzki,C,GR
KUJAWSKO-POMORSKIE,Inowrocławski,C,IN
KUJAWSKO-POMORSKIE,Lipnowski,C,LI
KUJAWSKO-POMORSKIE,Mogileński,C,MG
KUJAWSKO-POMORSKIE,Nakielski,C,NA
KUJAWSKO-POMORSKIE,Radziejowski,C,RA
KUJAWSKO-POMORSKIE,Rypiński,C,RY
KUJAWSKO-POMORSKIE,Sępoleński,C,SE
KUJAWSKO-POMORSKIE,Świecki,C,SW
KUJAWSKO-POMORSKIE,Toruński,C,TR
KUJAWSKO-POMORSKIE,Tucholski,C,TU
KUJAWSKO-POMORSKIE,Wąbrzeski,C,WA
KUJAWSKO-POMORSKIE,Włocławski,C,WL
KUJAWSKO-POMORSKIE,Żniński,C,ZN
LUBELSKIE,Biała Podlaska,L,B
LUBELSKIE,Chełm,L,C
LUBELSKIE,Lublin,L,U
LUBELSKIE,Zamość,L,Z
LUBELSKIE,Bialski,L,BI
LUBELSKIE,Biłgorajski,L,BL
LUBELSKIE,Chełmski,L,CH
LUBELSKIE,Hrubieszowski,L,HR
LUBELSKIE,Janowski,L,JA
LUBELSKIE,Krasnostawski,L,KS
LUBELSKIE,Kraśnicki,L,KR
LUBELSKIE,Lubartowski,L,LB
LUBELSKIE,Lubelski,L,UB
LUBELSKIE,Łęczyński,L,LE
LUBELSKIE,Łukowski,L,LU
LUBELSKIE,Opolski,L,OP
LUBELSKIE,Parczewski,L,PA
LUBELSKIE,Puławski,L,PU
LUBELSKIE,Radzyński,L,RA
LUBELSKIE,Rycki,L,RY
LUBELSKIE,Świdnicki,L,SW
LUBELSKIE,Tomaszowski,L,TM
LUBELSKIE,Włodawski,L,WL
LUBELSKIE,Zamojski,L,ZA
LUBUSKIE,Gorzów Wielkopolski,F,G
LUBUSKIE,Zielona Góra,F,Z
LUBUSKIE,Gorzowski,F,GW
LUBUSKIE,Krośnieński,F,KR
LUBUSKIE,Międzyrzecki,F,MI
LUBUSKIE,Nowosolski,F,NW
LUBUSKIE,Słubicki,F,SL
LUBUSKIE,Strzelecko-drezdenecki,F,SD
LUBUSKIE,Sulęciński,F,SU
LUBUSKIE,Świebodziński,F,SW
LUBUSKIE,Wschowski,F,WS
LUBUSKIE,Zielonogórski,F,ZI
LUBUSKIE,Żagański,F,ZG
LUBUSKIE,Żarski,F,ZA
ŁÓDZKIE,Łódź,E,L
ŁÓDZKIE,Piotrków Trybunalski,E,P
ŁÓDZKIE,Skierniewice,E,S
ŁÓDZKIE,Brzeziński,E,BR
ŁÓDZKIE,Bełchatowski,E,BE
ŁÓDZKIE,Kutnowski,E,KU
ŁÓDZKIE,Łaski,E,LA
ŁÓDZKIE,Łęczycki,E,LE
ŁÓDZKIE,Łowicki,E,LC
ŁÓDZKIE,Łódzki wschodni,E,LW
ŁÓDZKIE,Opoczyński,E,OP
ŁÓDZKIE,Pabianicki,E,PA
ŁÓDZKIE,Pajęczański,E,PJ
ŁÓDZKIE,Piotrkowski,E,PI
ŁÓDZKIE,Poddębicki,E,PD
ŁÓDZKIE,Radomszczański,E,RA
ŁÓDZKIE,Rawski,E,RW
ŁÓDZKIE,Sieradzki,E,SI
ŁÓDZKIE,Skierniewicki,E,SK
ŁÓDZKIE,Tomaszowski,E,TM
ŁÓDZKIE,Wieluński,E,WI
ŁÓDZKIE,Wieruszowski,E,WE
ŁÓDZKIE,Zduńskowolski,E,ZD
ŁÓDZKIE,Zgierski,E,ZG
MAŁOPOLSKIE,Kraków,K,R
MAŁOPOLSKIE,Nowy Sącz,K,N
MAŁOPOLSKIE,Tarnów,K,T
MAŁOPOLSKIE,Bocheński,K,BC
MAŁOPOLSKIE,Brzeski,K,BR
MAŁOPOLSKIE,Chrzanowski,K,CH
MAŁOPOLSKIE,Dąbrowski,K,DA
MAŁOPOLSKIE,Gorlicki,K,GR
MAŁOPOLSKIE,Krakowski,K,RA
MAŁOPOLSKIE,Limanowski,K,LI
MAŁOPOLSKIE,Miechowski,K,MI
